x,y,olive,zone
659045.144,4552463.152000001,0.0666,disease-free
660045.144,4552463.152000001,0.0046,disease-free
660045.144,4551463.152000001,0.0103,disease-free
661045.144,4551463.152000001,0.2851,disease-free
662045.144,4551463.152000001,0.2413,disease-free
663045.144,4551463.152000001,0.0359,disease-free
664045.144,4551463.152000001,0.0623,disease-free
659045.144,4550463.152000001,0.015,disease-free
660045.144,4550463.152000001,0.0806,disease-free
661045.144,4550463.152000001,0.185,disease-free
662045.144,4550463.152000001,0.2623,disease-free
663045.144,4550463.152000001,0.5078,disease-free
664045.144,4550463.152000001,0.44229999999999997,disease-free
665045.144,4550463.152000001,0.4542,disease-free
666045.144,4550463.152000001,0.2859,disease-free
667045.144,4550463.152000001,0.0538,disease-free
659045.144,4549463.152000001,0.0616,disease-free
660045.144,4549463.152000001,0.0915,disease-free
661045.144,4549463.152000001,0.1319,disease-free
662045.144,4549463.152000001,0.2661,disease-free
663045.144,4549463.152000001,0.5642,disease-free
664045.144,4549463.152000001,0.40399999999999997,disease-free
665045.144,4549463.152000001,0.6087,disease-free
666045.144,4549463.152000001,0.5121,disease-free
667045.144,4549463.152000001,0.086,disease-free
668045.144,4549463.152000001,0.1576,disease-free
669045.144,4549463.152000001,0.0644,disease-free
670045.144,4549463.152000001,0.0034000000000000002,disease-free
671045.144,4549463.152000001,0.1502,disease-free
672045.144,4549463.152000001,0.0848,disease-free
659045.144,4548463.152000001,0.11380000000000001,disease-free
660045.144,4548463.152000001,0.12279999999999999,disease-free
661045.144,4548463.152000001,0.35259999999999997,disease-free
662045.144,4548463.152000001,0.1413,disease-free
663045.144,4548463.152000001,0.5871,disease-free
664045.144,4548463.152000001,0.5971,disease-free
665045.144,4548463.152000001,0.272,disease-free
666045.144,4548463.152000001,0.19149999999999998,disease-free
667045.144,4548463.152000001,0.08109999999999999,disease-free
668045.144,4548463.152000001,0.37189999999999995,disease-free
669045.144,4548463.152000001,0.1508,disease-free
670045.144,4548463.152000001,0.0438,disease-free
671045.144,4548463.152000001,0.13449999999999998,disease-free
672045.144,4548463.152000001,0.1704,disease-free
673045.144,4548463.152000001,0.1417,disease-free
674045.144,4548463.152000001,0.0661,disease-free
659045.144,4547463.152000001,0.1862,disease-free
660045.144,4547463.152000001,0.175,disease-free
661045.144,4547463.152000001,0.0718,disease-free
662045.144,4547463.152000001,0.11449999999999999,disease-free
663045.144,4547463.152000001,0.5761,disease-free
664045.144,4547463.152000001,0.5036,disease-free
665045.144,4547463.152000001,0.2516,disease-free
666045.144,4547463.152000001,0.0412,disease-free
667045.144,4547463.152000001,0.077,disease-free
668045.144,4547463.152000001,0.11630000000000001,disease-free
669045.144,4547463.152000001,0.024300000000000002,disease-free
670045.144,4547463.152000001,0.0353,disease-free
671045.144,4547463.152000001,0.07200000000000001,disease-free
672045.144,4547463.152000001,0.1383,disease-free
673045.144,4547463.152000001,0.16899999999999998,disease-free
674045.144,4547463.152000001,0.1099,disease-free
675045.144,4547463.152000001,0.014499999999999999,disease-free
676045.144,4547463.152000001,0.0095,disease-free
659045.144,4546463.152000001,0.5705,disease-free
660045.144,4546463.152000001,0.30620000000000003,disease-free
661045.144,4546463.152000001,0.174,disease-free
662045.144,4546463.152000001,0.431,disease-free
663045.144,4546463.152000001,0.5242,disease-free
664045.144,4546463.152000001,0.3788,disease-free
665045.144,4546463.152000001,0.1635,disease-free
666045.144,4546463.152000001,0.0414,disease-free
667045.144,4546463.152000001,0.0265,disease-free
668045.144,4546463.152000001,0.0641,disease-free
669045.144,4546463.152000001,0.056900000000000006,disease-free
670045.144,4546463.152000001,0.0418,disease-free
671045.144,4546463.152000001,0.15130000000000002,disease-free
672045.144,4546463.152000001,0.1195,disease-free
673045.144,4546463.152000001,0.2438,disease-free
674045.144,4546463.152000001,0.24600000000000002,disease-free
675045.144,4546463.152000001,0.09179999999999999,disease-free
676045.144,4546463.152000001,0.0674,disease-free
677045.144,4546463.152000001,0.0973,disease-free
678045.144,4546463.152000001,0.021099999999999997,disease-free
659045.144,4545463.152000001,0.3299,disease-free
660045.144,4545463.152000001,0.4174,disease-free
661045.144,4545463.152000001,0.16820000000000002,disease-free
662045.144,4545463.152000001,0.1509,disease-free
663045.144,4545463.152000001,0.4413,disease-free
664045.144,4545463.152000001,0.3423,disease-free
665045.144,4545463.152000001,0.1189,disease-free
666045.144,4545463.152000001,0.09570000000000001,disease-free
667045.144,4545463.152000001,0.038900000000000004,disease-free
668045.144,4545463.152000001,0.1233,disease-free
669045.144,4545463.152000001,0.0373,disease-free
670045.144,4545463.152000001,0.0717,disease-free
671045.144,4545463.152000001,0.20800000000000002,disease-free
672045.144,4545463.152000001,0.10189999999999999,disease-free
673045.144,4545463.152000001,0.2503,disease-free
674045.144,4545463.152000001,0.1678,disease-free
675045.144,4545463.152000001,0.2396,disease-free
676045.144,4545463.152000001,0.1402,disease-free
677045.144,4545463.152000001,0.1032,disease-free
678045.144,4545463.152000001,0.17600000000000002,disease-free
679045.144,4545463.152000001,0.0992,disease-free
659045.144,4544463.152000001,0.37420000000000003,disease-free
660045.144,4544463.152000001,0.5161,disease-free
661045.144,4544463.152000001,0.326,disease-free
662045.144,4544463.152000001,0.3682,disease-free
663045.144,4544463.152000001,0.3506,disease-free
664045.144,4544463.152000001,0.1934,disease-free
665045.144,4544463.152000001,0.0971,disease-free
666045.144,4544463.152000001,0.0668,disease-free
668045.144,4544463.152000001,0.084,disease-free
669045.144,4544463.152000001,0.18960000000000002,disease-free
670045.144,4544463.152000001,0.2896,disease-free
671045.144,4544463.152000001,0.13419999999999999,disease-free
672045.144,4544463.152000001,0.2593,disease-free
